,Ann Return,Ann Vol,Sharpe,Max Drawdown
Strategy 1: Cluster Mean Reversion,-0.08805206670737642,0.15726850540588844,-0.5598836618948346,-0.46033932426873503
Strategy 2: Central → Peripheral,-0.189407567431768,0.2730541011353326,-0.693663148234103,-0.6114986011442658
Equal-Weight Benchmark,0.06998338416474637,0.2000402319874269,0.3498465457145892,-0.3050757012314014
